FileId,FileName,DirectoryCount,FileCategory,WarningFlag
367,WINRAR-X64-602RU.EXE,2,0,1
368,WINRAR-X64-611.EXE,2,0,1
369,AIDA64.EXE,3,0,0
370,CPUZ_X32.EXE,3,0,0
371,CPUZ_X64.EXE,3,0,0
372,DOTNETFX40_FULL_X86_X64.EXE,3,0,0
373,NDP461-KB3102436-X86-X64-ALLOS-ENU.EXE,3,0,0
374,SQLFULL_X64_ENU.EXE,3,0,0
375,SQLSERVER2008R2SP3-KB2979597-X64-ENU.EXE,3,0,0
376,SQLSERVER2008SP4-KB2979596-X64-ENU.EXE,3,0,0
377,SQLSERVER2012SP4-KB4018073-X64-ENU.EXE,3,0,0
378,SQLSERVER2016SP2-KB4052908-X64-ENU.EXE,3,0,0
379,SSMS-SETUP-ENU.EXE,3,0,0
380,FAR.EXE,4,0,0
381,RESTOREOLDPLUGINSETTINGS.CMD,4,0,0
382,SAVEOLDPLUGINSETTINGS.CMD,4,0,0
383,SETUP.EXE,4,0,0
384,FIXSQLREGISTRYKEY_IA64.EXE,5,0,0
385,FIXSQLREGISTRYKEY_X64.EXE,5,0,0
386,FIXSQLREGISTRYKEY_X86.EXE,5,0,0
387,LANDINGPAGE.EXE,5,0,0
388,SETUP100.EXE,5,0,0
389,DOTNETFX35SETUP.EXE,7,0,1
390,WIC_X64_ENU.EXE,8,0,1
391,WIC_X86_ENU.EXE,8,0,1
392,XPSEPSC-AMD64-EN-US.EXE,8,0,1
393,XPSEPSC-X86-EN-US.EXE,8,0,1
394,NETFX35_IA64.EXE,9,0,1
395,NETFX35_X64.EXE,9,0,1
396,NETFX35_X86.EXE,9,0,1
397,CLWIREG.EXE,8,0,1
398,CLWIREG_IA64.EXE,8,0,1
399,CLWIREG_X64.EXE,8,0,1
400,WINDOWSSERVER2003.WINDOWSXP-KB926139-V2-X64-ENU.EXE,8,0,1
401,WINDOWSSERVER2003.WINDOWSXP-KB926140-V5-X64-JPN.EXE,8,0,1
402,WINDOWSSERVER2003.WINDOWSXP-KB926141-X64-ENU.EXE,8,0,1
403,INSTMSI45.EXE,8,0,1
404,C468RA2C.EXE,11,0,1
405,FVMWS2L1.EXE,11,0,1
406,DCEXEC.EXE,12,0,1
407,LLFF-S5I.EXE,12,0,1
408,SQLAGENT.EXE,12,0,1
409,SQLIOSIM.COM,12,0,1
410,SQLIOSIM.EXE,12,0,1
411,SQLMAINT.EXE,12,0,1
412,SQLSERVR.EXE,12,0,1
413,XPADSI.EXE,12,0,1
414,Y78WFZK6.EXE,12,0,1
415,-ONGSXNB.EXE,14,0,1
416,CV6GBAOW.EXE,11,0,1
417,DISTRIB.EXE,11,0,1
418,LOGREAD.EXE,11,0,1
419,QRDRSVC.EXE,11,0,1
420,REPLMERG.EXE,11,0,1
421,SNAPSHOT.EXE,11,0,1
422,DTEXEC.EXE,12,0,1
423,DTSHOST.EXE,12,0,1
424,DTUTIL.EXE,12,0,1
425,PCQ8ARYZ.EXE,12,0,1
426,SQLADHLP.EXE,11,0,1
427,SQLWTSN.EXE,11,0,1
428,6DUW_KLA.EXE,12,0,1
429,BCP.EXE,12,0,1
430,OSQL.EXE,12,0,1
431,SQLCMD.EXE,12,0,1
432,SQLDIAG.EXE,12,0,1
433,SNAPSHOT.EXE,11,0,1
434,SQLWTSN.EXE,11,0,1
435,SQLPS.EXE,12,0,1
436,CONVERTILLA.EXE,2,0,1
437,FFMPEG.EXE,3,0,0
438,FFPLAY.EXE,3,0,0
439,FFPROBE.EXE,3,0,0
440,MELT.EXE,3,0,0
441,QMELT.EXE,3,0,0
442,SHOTCUT.EXE,3,0,0
443,VDLAUNCH64.EXE,3,0,0
444,VDUB64.EXE,3,0,0
445,VEEDUB64.EXE,3,0,0
